scientific_name,park_name,observations
Clarkia dudleyana,Bryce National Park,91
Leymus triticoides,Yellowstone National Park,243
Carex praeceptorium,Bryce National Park,83
Sayornis saya,Yosemite National Park,147
Linanthus nuttallii ssp. pubescens,Yellowstone National Park,275
Chenopodium simplex,Yosemite National Park,141
Potamogeton foliosus ssp. fibrillosus,Great Smoky Mountains National Park,72
Trichostema oblongum,Bryce National Park,63
Pycnanthemum pycnanthemoides,Yosemite National Park,169
Tringa incana,Great Smoky Mountains National Park,89
Hyophila involuta,Bryce National Park,140
Noturus flavus,Great Smoky Mountains National Park,62
Myosurus apetalus var. montanus,Yosemite National Park,137
Calochortus superbus,Yosemite National Park,146
Acer macrophyllum,Great Smoky Mountains National Park,33
Lepidium densiflorum var. pubecarpum,Yosemite National Park,154
Cardinalis cardinalis,Yellowstone National Park,244
Fritillaria pudica,Yellowstone National Park,249
Melospiza lincolnii,Yellowstone National Park,207
Microtus richardsoni,Bryce National Park,88
Pinus sabiniana,Yosemite National Park,89
Photinia melanocarpa,Yellowstone National Park,234
Streptopus amplexifolius var. amplexifolius,Great Smoky Mountains National Park,43
Anagallis arvensis,Bryce National Park,124
Puma concolor,Great Smoky Mountains National Park,79
Cephalozia catenulata,Yosemite National Park,169
Sphagnum quinquefarium,Yellowstone National Park,269
Betula alleghaniensis var. alleghaniensis,Yellowstone National Park,251
Reithrodontomys megalotis,Great Smoky Mountains National Park,79
Nothoscordum bivalve,Bryce National Park,117
Utricularia gibba,Great Smoky Mountains National Park,80
Potentilla nivea,Yellowstone National Park,229
Cardamine diphylla,Bryce National Park,111
Gentiana decora,Yellowstone National Park,249
Carex festucacea,Yosemite National Park,129
Polygonum phytolaccifolium,Yellowstone National Park,252
Antrozous pallidus,Great Smoky Mountains National Park,61
Dicentra cucullaria,Bryce National Park,102
Rhodobryum roseum,Yosemite National Park,151
Hackelia patens var. patens,Yellowstone National Park,251
Alisma plantago-aquatica,Yellowstone National Park,290
Calamagrostis breweri,Bryce National Park,96
Silene hitchguirei,Yellowstone National Park,252
Sylvilagus floridanus,Yellowstone National Park,271
Eleocharis palustris,Bryce National Park,64
Crataegus pruinosa,Yosemite National Park,120
Dendroica petechia,Great Smoky Mountains National Park,93
Riparia riparia,Great Smoky Mountains National Park,92
Eupatorium capillifolium,Yosemite National Park,161
Lotus wrangelianus,Bryce National Park,99
Trifolium arvense,Bryce National Park,95
Sorex trowbridgii,Yosemite National Park,140
Sibbaldiopsis tridentata,Yellowstone National Park,269
Carex feta,Bryce National Park,103
Anthus spinoletta,Yellowstone National Park,241
Smilax hugeri,Yosemite National Park,125
Herpetineuron toccoae,Yosemite National Park,148
Parnassia glauca,Great Smoky Mountains National Park,70
Agoseris glauca var. laciniata,Yellowstone National Park,290
Poa stebbinsii,Yellowstone National Park,226
Hypericum punctatum,Bryce National Park,96
Packera obovata,Great Smoky Mountains National Park,64
Mertensia ciliata var. ciliata,Yellowstone National Park,232
Lasiurus cinereus,Yosemite National Park,150
Layia pentachaeta ssp. pentachaeta,Bryce National Park,104
Symphyotrichum foliaceum var. canbyi,Yosemite National Park,145
Dendragapus fuliginosus,Yellowstone National Park,261
Carex tompkinsii,Bryce National Park,126
Panicum miliaceum,Great Smoky Mountains National Park,78
Aconitum columbianum ssp. columbianum,Great Smoky Mountains National Park,91
Taxiphyllum taxirameum,Yellowstone National Park,241
Herpetineuron toccoae,Yellowstone National Park,227
Setophaga castanea,Great Smoky Mountains National Park,76
Dodecatheon subalpinum,Yosemite National Park,149
Phyllodoce empetriformis,Bryce National Park,134
Tripsacum dactyloides,Yellowstone National Park,258
Lupinus argenteus var. argenteus,Bryce National Park,58
Epipactis helleborine,Great Smoky Mountains National Park,35
Angelica lineariloba,Yellowstone National Park,284
Melanitta fusca,Bryce National Park,108
Lotus nevadensis var. nevadensis,Bryce National Park,68
Etheostoma jessiae,Yellowstone National Park,252
Eragrostis cilianensis,Yellowstone National Park,252
Senecio streptanthifolius,Yosemite National Park,135
Rattus rattus,Yellowstone National Park,239
Psaltriparus minimus,Great Smoky Mountains National Park,97
Yucca glauca,Yellowstone National Park,257
Calypso bulbosa,Great Smoky Mountains National Park,82
Dichelostemma volubile,Great Smoky Mountains National Park,67
Bryum gemmiparum,Bryce National Park,80
Geum radiatum,Great Smoky Mountains National Park,27
Cardaria chalapensis,Great Smoky Mountains National Park,47
Barbarea vulgaris,Great Smoky Mountains National Park,84
Poa chapmaniana,Yosemite National Park,141
Senecio pauciflorus,Yosemite National Park,144
Carex gynocrates,Yellowstone National Park,237
Crataegus intricata,Bryce National Park,90
Salvelinus fontinalis,Yellowstone National Park,270
Gallinula chloropus,Bryce National Park,110
Urtica dioica ssp. holosericea,Yellowstone National Park,236
Symphyotrichum novae-angliae,Great Smoky Mountains National Park,98
Spiranthes porrifolia,Bryce National Park,91
Raillardella argentea,Yellowstone National Park,203
Atrichum altecristatum,Great Smoky Mountains National Park,88
Agrostis scabra var. scabra,Yosemite National Park,125
Juncus dudleyi,Bryce National Park,92
Carex multicaulis,Yellowstone National Park,264
Lonicera sempervirens,Yosemite National Park,120
Muscari comosum,Yosemite National Park,137
Anthus spinoletta,Yosemite National Park,152
Juncus hemiendytus var. abjectus,Bryce National Park,81
Senecio triangularis,Yellowstone National Park,234
Senna hebecarpa,Yellowstone National Park,239
Bryohaplocladium microphyllum,Yellowstone National Park,249
Penstemon azureus var. angustissimus,Great Smoky Mountains National Park,76
Salix reticulata ssp. nivalis,Bryce National Park,101
Calidris himantopus,Bryce National Park,91
Thuidium delicatulum,Yosemite National Park,151
Myriophyllum aquaticum,Bryce National Park,136
Rubus ursinus,Yosemite National Park,157
Cordylanthus rigidus ssp. brevibracteatus,Yellowstone National Park,260
Arabis glabra var. glabra,Yellowstone National Park,272
Sedum spectabile,Yosemite National Park,115
Scalopus aquaticus,Great Smoky Mountains National Park,81
Ruellia caroliniensis ssp. caroliniensis var. caroliniensis,Yellowstone National Park,248
Nerodia erythrogaster,Yellowstone National Park,222
Hydrophyllum macrophyllum,Bryce National Park,74
Leskea obscura,Bryce National Park,113
Lonicera utahensis,Yellowstone National Park,254
Erigeron corymbosus,Yellowstone National Park,222
Callitriche heterophylla var. bolanderi,Bryce National Park,81
Plantago,Yellowstone National Park,278
Phyllodoce breweri,Great Smoky Mountains National Park,54
Fagopyrum esculentum,Yellowstone National Park,255
Viola sororia var. affinis,Yellowstone National Park,252
Alopecurus aequalis,Yellowstone National Park,256
Spinus lawrencei,Great Smoky Mountains National Park,105
Erigeron foliosus var. hartwegii,Yosemite National Park,159
Lepidium densiflorum,Yellowstone National Park,240
Tringa incana,Yellowstone National Park,257
Lapsana communis,Yellowstone National Park,234
Dicentra pauciflora,Great Smoky Mountains National Park,45
Trillium rugelii,Yellowstone National Park,279
Leucothoe recurva,Great Smoky Mountains National Park,72
Lilaea scilloides,Yellowstone National Park,218
Maclura pomifera,Yellowstone National Park,226
Gilia leptalea ssp. leptalea,Yosemite National Park,175
Agalinis purpurea,Bryce National Park,91
Cuscuta rostrata,Yellowstone National Park,270
Ranunculus muricatus,Great Smoky Mountains National Park,34
Ribes aureum var. aureum,Yellowstone National Park,246
Arabis davidsonii,Great Smoky Mountains National Park,96
Castilleja tenuis,Yellowstone National Park,234
Juncus mexicanus,Great Smoky Mountains National Park,123
Euonymus americana,Yellowstone National Park,227
Equus caballus,Great Smoky Mountains National Park,61
Plethodon metcalfi,Great Smoky Mountains National Park,95
Amphidium mougeotii,Yellowstone National Park,255
Coreopsis major,Great Smoky Mountains National Park,62
Campsis radicans,Great Smoky Mountains National Park,96
Elymus glaucus ssp. glaucus,Great Smoky Mountains National Park,56
Castilleja lemmonii,Great Smoky Mountains National Park,80
Euclidium syriacum,Yosemite National Park,164
Poa pratensis,Bryce National Park,66
Lynx rufus,Great Smoky Mountains National Park,30
Plagiobothrys torreyi var. diffusus,Yellowstone National Park,210
Phyllodoce breweri,Yosemite National Park,153
Helianthemum propinquum,Yellowstone National Park,246
Cymopterus cinerarius,Great Smoky Mountains National Park,71
Asclepias fascicularis,Bryce National Park,104
Rubus hispidus,Great Smoky Mountains National Park,103
Pituophis melanoleucus melanoleucus,Yosemite National Park,140
Veronica verna,Bryce National Park,114
Listera caurina,Bryce National Park,81
Polygala sanguinea,Great Smoky Mountains National Park,69
Staphylea trifolia,Bryce National Park,53
Mimulus torreyi,Yellowstone National Park,250
Silene gallica,Great Smoky Mountains National Park,65
Desmodium nuttallii,Bryce National Park,97
Etheostoma stigmaeum,Great Smoky Mountains National Park,61
Desmodium perplexum,Yosemite National Park,172
Calidris mauri,Great Smoky Mountains National Park,96
Heracleum maximum,Yosemite National Park,125
Carex willdenowii,Yellowstone National Park,241
Vulpia myuros,Bryce National Park,106
Trillium catesbaei,Yellowstone National Park,245
Myiarchus crinitus,Bryce National Park,71
Nerodia sipedon sipedon,Great Smoky Mountains National Park,99
Malva moschata,Great Smoky Mountains National Park,14
Desmognathus conanti,Yosemite National Park,143
Erythronium americanum,Yellowstone National Park,246
Arabis repanda var. greenei,Bryce National Park,132
Pinus taeda,Yosemite National Park,206
Muhlenbergia mexicana,Great Smoky Mountains National Park,54
Spizella breweri,Yosemite National Park,126
Artemisia ludoviciana ssp. mexicana,Bryce National Park,74
Calamintha nepeta,Yellowstone National Park,268
Solidago glomerata,Yellowstone National Park,262
Carex abscondita,Yellowstone National Park,212
Falco peregrinus,Bryce National Park,100
Aureolaria pedicularia,Yellowstone National Park,275
Lindernia dubia var. anagallidea,Yellowstone National Park,228
Astragalus vexilliflexus var. vexilliflexus,Yosemite National Park,157
Apalone spinifera spinifera,Yellowstone National Park,263
Potamogeton friesii,Yosemite National Park,138
Lupinus bicolor,Great Smoky Mountains National Park,59
Galium sparsiflorum ssp. sparsiflorum,Great Smoky Mountains National Park,58
Hordeum brachyantherum ssp. brachyantherum,Bryce National Park,128
Nemophila spatulata,Yellowstone National Park,250
Lupinus sericeus,Bryce National Park,134
Anelsonia eurycarpa,Yellowstone National Park,268
Danthonia spicata,Yosemite National Park,161
Juncus bufonius var. bufonius,Yosemite National Park,153
Solidago puberula,Yosemite National Park,168
Ranunculus hispidus,Yosemite National Park,140
Hygrohypnum ochraceum,Yellowstone National Park,292
Penthorum sedoides,Great Smoky Mountains National Park,82
Rhus copallina,Yellowstone National Park,233
Shepherdia canadensis,Bryce National Park,66
Equisetum fluviatile,Great Smoky Mountains National Park,56
Myotis evotis,Great Smoky Mountains National Park,46
Cystopteris fragilis,Bryce National Park,92
Hirundo rustica,Bryce National Park,104
Ceanothus cuneatus var. cuneatus,Great Smoky Mountains National Park,47
Carpodacus cassinii,Great Smoky Mountains National Park,81
Prunus cerasus,Yosemite National Park,141
Picea rubens,Yellowstone National Park,259
Dorosoma cepedianum,Bryce National Park,98
Castilleja pallescens,Bryce National Park,78
Prunus,Yosemite National Park,133
Lasthenia californica,Great Smoky Mountains National Park,109
Oceanodroma castro,Bryce National Park,86
Mitella breweri,Yellowstone National Park,213
Ivesia muirii,Bryce National Park,130
Lycopodium tristachyum,Bryce National Park,122
Sedum acre,Bryce National Park,115
Clitoria mariana,Great Smoky Mountains National Park,69
Rhamnus ilicifolia,Yellowstone National Park,261
Hackelia nervosa,Yellowstone National Park,231
Charina bottae,Bryce National Park,98
Picea glauca,Great Smoky Mountains National Park,71
Herpetineuron toccoae,Great Smoky Mountains National Park,73
Cirsium undulatum,Bryce National Park,55
Quercus falcata,Yosemite National Park,142
Dicentra formosa,Yosemite National Park,99
Empidonax hammondii,Yellowstone National Park,275
Arceuthobium occidentale,Great Smoky Mountains National Park,81
Mimulus primuloides,Great Smoky Mountains National Park,66
Necturus maculosus maculosus,Yellowstone National Park,250
Leucothoe fontanesiana,Yosemite National Park,151
Viburnum ellipticum,Bryce National Park,107
Rhus copallina,Bryce National Park,109
Raillardella scaposa,Bryce National Park,69
Anthemis cotula,Great Smoky Mountains National Park,73
Elephantopus tomentosus,Yellowstone National Park,267
Arnoglossum muehlenbergii,Yellowstone National Park,261
Sanicula bipinnatifida,Yosemite National Park,117
Nuphar lutea ssp. polysepala,Great Smoky Mountains National Park,72
Campostoma anomalum,Bryce National Park,94
Ephemerum spinulosum,Yosemite National Park,152
Mustela erminea,Yellowstone National Park,264
Quercus velutina,Great Smoky Mountains National Park,54
Amorpha glabra,Yosemite National Park,157
Matelea obliqua,Bryce National Park,95
Muhlenbergia schreberi,Bryce National Park,136
Carex atlantica,Yosemite National Park,187
Clethrionomys gapperi gapperi,Bryce National Park,130
Asarum canadense,Bryce National Park,102
Callipepla californica,Yosemite National Park,169
Zonotrichia atricapilla,Yellowstone National Park,224
Fontinalis dalecarlica,Great Smoky Mountains National Park,86
Triteleia ixioides ssp. scabra,Yosemite National Park,114
Sorex tenellus,Great Smoky Mountains National Park,91
Oxalis stricta,Bryce National Park,114
Solidago puberula,Great Smoky Mountains National Park,64
Lontra canadensis,Yosemite National Park,175
Crepis nana,Bryce National Park,86
Lycopodium digitatum,Yellowstone National Park,248
Plethodon ventralis,Bryce National Park,109
Holosteum umbellatum,Yellowstone National Park,231
Arabis lyallii var. nubigena,Great Smoky Mountains National Park,84
Chenopodium pumilio,Yosemite National Park,124
Ranunculus acris var. acris,Yellowstone National Park,227
Hypericum hypericoides,Great Smoky Mountains National Park,73
Tradescantia subaspera var. subaspera,Bryce National Park,114
Tamarix chinensis,Great Smoky Mountains National Park,98
Etheostoma sanguifluum,Great Smoky Mountains National Park,59
Accipiter cooperii,Yosemite National Park,138
Lycopodium dendroideum,Yosemite National Park,173
Madia elegans ssp. elegans,Great Smoky Mountains National Park,82
Eragrostis cilianensis,Yosemite National Park,131
Dicentra eximia,Yellowstone National Park,263
Elaeagnus commutata,Great Smoky Mountains National Park,85
Carya ovalis,Bryce National Park,116
Catabrosa aquatica,Yellowstone National Park,267
Barbarea vulgaris,Yosemite National Park,166
Viola purpurea ssp. purpurea,Bryce National Park,63
Hulsea heterochroma,Yellowstone National Park,250
Carex sparganioides,Yellowstone National Park,278
Solanum lycopersicum var. lycopersicum,Great Smoky Mountains National Park,77
Stephanomeria tenuifolia,Bryce National Park,72
Cryptantha flaccida,Great Smoky Mountains National Park,43
Draba reptans,Yosemite National Park,124
Desmodium canescens,Yosemite National Park,158
Lepomis humilis,Bryce National Park,109
Adenocaulon bicolor,Yellowstone National Park,210
Eriophyllum lanatum var. integrifolium,Great Smoky Mountains National Park,86
Lupinus rivularis,Yosemite National Park,145
Bupleurum rotundifolium,Yosemite National Park,122
Rudbeckia fulgida var. fulgida,Great Smoky Mountains National Park,86
Castilleja applegatei,Yellowstone National Park,208
Gypsophila paniculata,Great Smoky Mountains National Park,104
Juncus ensifolius,Yellowstone National Park,283
Thomomys monticola,Great Smoky Mountains National Park,56
Elaeagnus commutata,Bryce National Park,95
Chrysolepis sempervirens,Yellowstone National Park,285
Empidonax oberholseri,Yellowstone National Park,214
Phalacroseris bolanderi,Yellowstone National Park,259
Navarretia divaricata ssp. divaricata,Yosemite National Park,164
Epilobium clavatum,Great Smoky Mountains National Park,91
Carex filifolia var. erostrata,Bryce National Park,136
Linum lewisii var. lewisii,Great Smoky Mountains National Park,68
Viola bakeri,Great Smoky Mountains National Park,85
Physocarpus opulifolius,Yellowstone National Park,232
Draba ramosissima,Great Smoky Mountains National Park,101
Anomodon attenuatus,Yellowstone National Park,235
Sciurus carolinensis,Bryce National Park,69
Carex barrattii,Great Smoky Mountains National Park,55
Dendroica magnolia,Bryce National Park,99
Nemophila menziesii var. menziesii,Yellowstone National Park,216
Arceuthobium campylopodum,Bryce National Park,106
Sedum integrifolium,Bryce National Park,79
Camissonia lacustris,Yosemite National Park,154
Listera convallarioides,Yellowstone National Park,221
Sphenopholis obtusata,Yellowstone National Park,225
Pluvialis squatarola,Yosemite National Park,158
Aristida oligantha,Bryce National Park,123
Vicia villosa ssp. varia,Yosemite National Park,192
Carex elynoides,Yosemite National Park,132
Eriogonum flavum var. piperi,Bryce National Park,90
Trisetum spicatum,Yellowstone National Park,235
Storeria dekayi dekayi,Yellowstone National Park,226
Linum virginianum,Great Smoky Mountains National Park,83
Eragrostis cilianensis,Yellowstone National Park,242
Trisetum wolfii,Great Smoky Mountains National Park,74
Poa trivialis,Yellowstone National Park,263
Cyperus esculentus,Great Smoky Mountains National Park,71
Tamias umbrinus,Great Smoky Mountains National Park,85
Castilleja parviflora,Great Smoky Mountains National Park,93
Fundulus catenatus,Yosemite National Park,155
Hylotelephium telephioides,Great Smoky Mountains National Park,54
Richardsonius balteatus,Bryce National Park,125
Symphyotrichum foliaceum var. parryi,Great Smoky Mountains National Park,74
Carex willdenowii,Yosemite National Park,131
Cyperus bipartitus,Bryce National Park,106
Gymnocladus dioicus,Great Smoky Mountains National Park,92
Cardamine rotundifolia,Yellowstone National Park,265
Oporornis agilis,Yellowstone National Park,272
Desmodium nudiflorum,Bryce National Park,135
Carex umbellata,Great Smoky Mountains National Park,63
Antennaria neglecta,Yosemite National Park,150
Solidago flexicaulis,Yosemite National Park,135
Sida spinosa,Yosemite National Park,153
Draba densifolia,Bryce National Park,135
Luzula spicata,Yosemite National Park,135
Carex debilis var. rudgei,Great Smoky Mountains National Park,101
Bidens frondosa,Bryce National Park,121
Corynorhinus townsendii,Great Smoky Mountains National Park,111
Carex misera,Bryce National Park,109
Zigadenus venenosus var. gramineus,Yosemite National Park,168
Heuchera parvifolia,Great Smoky Mountains National Park,64
Orbexilum pedunculatum var. pedunculatum,Great Smoky Mountains National Park,94
Pheucticus melanocephalus,Great Smoky Mountains National Park,84
Agoseris retrorsa,Great Smoky Mountains National Park,84
Osmorhiza brachypoda,Great Smoky Mountains National Park,100
Triticum aestivum,Bryce National Park,92
Rana catesbeiana,Yellowstone National Park,240
Luxilus coccogenis,Yellowstone National Park,254
Vicia cracca,Yellowstone National Park,267
Mentzelia lindleyi,Great Smoky Mountains National Park,99
Trillium undulatum,Yellowstone National Park,274
Salvia columbariae,Bryce National Park,111
Orthotrichum strangulatum,Yellowstone National Park,260
Raillardella scaposa,Yosemite National Park,183
Stephanomeria runcinata,Yellowstone National Park,219
Coreopsis auriculata,Yellowstone National Park,239
Didelphis virginiana,Yosemite National Park,139
Parnassia californica,Bryce National Park,143
Perideridia bolanderi,Great Smoky Mountains National Park,78
Lysichiton americanus,Yosemite National Park,130
Dryopteris marginalis,Bryce National Park,111
Lupinus rivularis,Great Smoky Mountains National Park,61
Cyperus retrorsus var. robustus,Yellowstone National Park,259
Aquilegia formosa,Great Smoky Mountains National Park,58
Gyrinophilus porphyriticus,Bryce National Park,72
Epilobium canum ssp. garrettii,Bryce National Park,114
Hymenophyllum tayloriae,Great Smoky Mountains National Park,104
Cirsium andersonii,Yosemite National Park,163
Symphyotrichum patens var. patens,Great Smoky Mountains National Park,58
Artemisia abrotanum,Bryce National Park,113
Fragaria virginiana,Bryce National Park,97
Carex subnigricans,Great Smoky Mountains National Park,69
Rorippa nasturtium-aquaticum,Bryce National Park,91
Dichanthelium dichotomum var. ensifolium,Yosemite National Park,159
Taraxacum officinale,Great Smoky Mountains National Park,91
Pica hudsonia,Yosemite National Park,151
Thalictrum thalictroides,Yellowstone National Park,225
Viola sororia var. affinis,Bryce National Park,127
Plagiothecium cavifolium,Yosemite National Park,140
Dicranum flagellare,Bryce National Park,107
Herniaria hirsuta ssp. cinerea,Bryce National Park,111
Quercus prinus,Yellowstone National Park,244
Procyon lotor,Yosemite National Park,166
Carex nudata,Bryce National Park,92
Osmunda regalis var. spectabilis,Bryce National Park,113
Angelica roseana,Yellowstone National Park,215
Pycnanthemum muticum,Yellowstone National Park,223
Potentilla gracilis var. fastigiata,Yosemite National Park,130
Dendragapus fuliginosus,Great Smoky Mountains National Park,77
Dianthus barbatus,Yellowstone National Park,249
Glaucomys volans,Yosemite National Park,117
Salix jepsonii,Great Smoky Mountains National Park,53
Pyrus communis,Yosemite National Park,171
Lonicera standishii,Yosemite National Park,173
Trachemys scripta troostii,Great Smoky Mountains National Park,48
Moneses uniflora,Yellowstone National Park,286
Camassia quamash ssp. breviflora,Yellowstone National Park,258
Trifolium arvense,Yellowstone National Park,274
Trillium pusillum var. pusillum,Yosemite National Park,150
Castilleja pilosa,Great Smoky Mountains National Park,76
Allophyllum gilioides ssp. gilioides,Bryce National Park,55
Limosella acaulis,Yosemite National Park,128
Sanicula marilandica,Great Smoky Mountains National Park,52
Hemerocallis fulva,Yellowstone National Park,237
Artemisia tridentata ssp. tridentata,Yellowstone National Park,234
Ophioglossum pusillum,Bryce National Park,123
Fagopyrum vulgare,Yosemite National Park,165
Penstemon cyaneus,Bryce National Park,100
Eleocharis quadrangulata,Bryce National Park,108
Ipomoea lacunosa,Yosemite National Park,156
Monarda fistulosa var. menthifolia,Great Smoky Mountains National Park,110
Atriplex argentea,Yellowstone National Park,242
Carex retroflexa,Bryce National Park,52
Trifolium aureum,Yosemite National Park,146
Vulpia octoflora var. octoflora,Yosemite National Park,138
Corallorrhiza wisteriana,Yellowstone National Park,261
Chenopodium album var. missouriense,Great Smoky Mountains National Park,61
Eurycea guttolineata,Yellowstone National Park,218
Pseudacris feriarum feriarum,Yosemite National Park,133
Gambusia holbrooki,Bryce National Park,93
Schlotheimia rugifolia,Great Smoky Mountains National Park,34
Asplenium platyneuron,Great Smoky Mountains National Park,74
Oxyura jamaicensis,Bryce National Park,132
Aristida oligantha,Yellowstone National Park,267
Ludwigia alternifolia,Yosemite National Park,187
Microtus richardsoni,Yellowstone National Park,262
Hemerocallis lilioasphodelus,Yosemite National Park,154
Drosera rotundifolia,Yosemite National Park,108
Isoetes engelmannii,Yellowstone National Park,240
Luxilus cornutus,Yellowstone National Park,245
Lactuca biennis,Bryce National Park,68
Quercus bicolor,Great Smoky Mountains National Park,54
Isothecium myosuroides,Great Smoky Mountains National Park,59
Ranunculus eschscholtzii var. trisectus,Bryce National Park,93
Setophaga nigrescens,Great Smoky Mountains National Park,78
Viola glabella,Bryce National Park,84
Spigelia marilandica,Yellowstone National Park,287
Sagina decumbens ssp. occidentalis,Yosemite National Park,152
Viola rotundifolia,Yosemite National Park,150
Cyperus rivularis,Yosemite National Park,152
Cathartes aura,Great Smoky Mountains National Park,47
Plectritis ciliosa ssp. ciliosa,Bryce National Park,98
Hedwigia ciliata,Great Smoky Mountains National Park,87
Madia yosemitana,Bryce National Park,117
Sorex cinereus,Great Smoky Mountains National Park,47
Populus X acuminata,Yosemite National Park,145
Arabis lemmonii var. lemmonii,Great Smoky Mountains National Park,62
Melica subulata,Yellowstone National Park,258
Moxostoma erythrurum,Great Smoky Mountains National Park,73
Cymopterus nivalis,Yellowstone National Park,241
Rhus hirta,Yellowstone National Park,222
Cerastium arvense,Yosemite National Park,143
Linum medium var. texanum,Bryce National Park,93
Asclepias californica,Great Smoky Mountains National Park,112
Magnolia acuminata,Yellowstone National Park,246
Symphyotrichum campestre,Yellowstone National Park,245
Moxostoma macrolepidotum,Yellowstone National Park,262
Picoides albolarvatus,Yosemite National Park,116
Ranunculus repens,Bryce National Park,76
Bartonia paniculata ssp. paniculata,Yosemite National Park,146
Lepomis megalotis,Great Smoky Mountains National Park,67
Glaucidium gnoma,Bryce National Park,92
Cynoglossum officinale,Bryce National Park,69
Dendroica palmarum,Yellowstone National Park,218
Aesculus sylvatica,Yellowstone National Park,263
Platanus occidentalis,Yellowstone National Park,235
Picoides albolarvatus,Yellowstone National Park,246
Angelica venenosa,Great Smoky Mountains National Park,60
Krigia montana,Great Smoky Mountains National Park,41
Leucothoe davisiae,Bryce National Park,84
Glyceria striata,Yosemite National Park,142
Mimulus floribundus,Yellowstone National Park,252
Lathyrus jepsonii var. californicus,Yellowstone National Park,235
Wolffia brasiliensis,Bryce National Park,85
Abietinella abietina,Great Smoky Mountains National Park,65
Etheostoma maculatum,Bryce National Park,114
Ranunculus cymbalaria var. saximontanus,Yellowstone National Park,227
Krascheninnikovia lanata,Yellowstone National Park,255
Sematophyllum marylandicum,Yosemite National Park,166
Stellaria longipes var. longipes,Yellowstone National Park,256
Aureolaria virginica,Yosemite National Park,131
Notropis atherinoides,Yellowstone National Park,247
Asarum lemmonii,Yellowstone National Park,281
Scutellaria serrata,Great Smoky Mountains National Park,94
Fraxinus dipetala,Great Smoky Mountains National Park,83
Agastache urticifolia,Great Smoky Mountains National Park,57
Phlox hoodii,Great Smoky Mountains National Park,101
Ilex ambigua,Yellowstone National Park,253
Dodecatheon hendersonii,Yellowstone National Park,268
Carex fracta,Yosemite National Park,192
Calidris canutus,Bryce National Park,106
Douglasia montana,Bryce National Park,75
Dendroica virens,Yosemite National Park,152
Brachythecium acuminatum,Great Smoky Mountains National Park,93
Aspidotis densa,Great Smoky Mountains National Park,76
Woodwardia fimbriata,Yosemite National Park,155
Parapholis incurva,Yellowstone National Park,257
Eptesicus fuscus,Bryce National Park,112
Lomatium cous,Great Smoky Mountains National Park,78
Corydalis aurea var. aurea,Great Smoky Mountains National Park,53
Sedum lanceolatum,Bryce National Park,108
Gavia pacifica,Bryce National Park,124
Symphoricarpos albus var. laevigatus,Great Smoky Mountains National Park,92
Amelanchier alnifolia var. pumila,Yellowstone National Park,274
Dendroica tigrina,Bryce National Park,78
Eriogonum nudum var. scapigerum,Bryce National Park,77
Townsendia alpigena,Bryce National Park,94
Conium maculatum,Yellowstone National Park,264
Lithophragma glabrum,Bryce National Park,93
Epilobium coloratum,Yellowstone National Park,233
Hypnum fertile,Yellowstone National Park,254
Limosella acaulis,Bryce National Park,98
Secale cereale,Yosemite National Park,169
Eriogonum nudum,Bryce National Park,90
Silphium asteriscus,Bryce National Park,89
Silene menziesii,Great Smoky Mountains National Park,67
Thalictrum sparsiflorum,Great Smoky Mountains National Park,54
Saxifraga rhomboidea,Great Smoky Mountains National Park,83
Asperugo procumbens,Great Smoky Mountains National Park,88
Notropis rubellus,Bryce National Park,97
Etheostoma sanguifluum,Bryce National Park,89
Phasianus colchicus,Great Smoky Mountains National Park,83
Cirsium vulgare,Great Smoky Mountains National Park,84
Astragalus miser var. praeteritus,Bryce National Park,109
Galium hypotrichium ssp. hypotrichium,Yosemite National Park,181
Rubus argutus,Great Smoky Mountains National Park,92
Carex raynoldsii,Bryce National Park,94
Bucephala clangula,Yellowstone National Park,252
Carex limosa,Great Smoky Mountains National Park,91
Ptilagrostis kingii,Bryce National Park,119
Viola macloskeyi,Bryce National Park,77
Euphorbia lathyris,Yosemite National Park,135
Sisyrinchium idahoense var. idahoense,Yosemite National Park,186
Sedum radiatum,Yosemite National Park,149
Acer glabrum,Bryce National Park,30
Potentilla wheeleri,Yellowstone National Park,215
Petrochelidon pyrrhonota,Bryce National Park,126
Noccaea montana,Great Smoky Mountains National Park,94
Troglodytes troglodytes,Yellowstone National Park,231
Veronica persica,Yellowstone National Park,266
Tamias umbrinus,Yosemite National Park,182
Colinus virginianus,Yosemite National Park,177
Artemisia cana ssp. bolanderi,Yosemite National Park,153
Epilobium densiflorum,Bryce National Park,116
Agrostis mertensii,Bryce National Park,74
Streptopelia decaocto,Bryce National Park,92
Mimulus palmeri,Yellowstone National Park,233
Lampropeltis triangulum triangulum,Great Smoky Mountains National Park,85
Cuscuta gronovii,Great Smoky Mountains National Park,97
Labidesthes sicculus,Yellowstone National Park,224
Phlox amoena,Yosemite National Park,142
Aimophila ruficeps,Bryce National Park,82
Epipactis gigantea,Great Smoky Mountains National Park,47
Ixobrychus exilis,Bryce National Park,94
Carex jamesii,Yellowstone National Park,231
Viola pubescens var. scabriuscula,Yosemite National Park,176
Smilax tamnoides,Yellowstone National Park,228
Ammodramus leconteii,Great Smoky Mountains National Park,86
Campanula divaricata,Great Smoky Mountains National Park,30
Plethodon jordani,Yellowstone National Park,273
Cottus gulosus,Great Smoky Mountains National Park,41
Notropis volucellus,Yellowstone National Park,249
