category,scientific_name,common_names,conservation_status
Vascular Plant,Capsella bursa-pastoris,"Common Shepherd's Purse, Shepherd's Purse",
Vascular Plant,Capsella rubella,Reddish Shepherd's Purse,
Vascular Plant,Cardamine angustata,Pepperwort,
Vascular Plant,Cardamine bulbosa,Bulbous Bittercress,
Vascular Plant,Cardamine clematitis,"Mountain Watercress, Mountain Bitter Cress",Species of Concern
Vascular Plant,Cardamine concatenata,"Cutleaf Toothwort, Cut-Leaved Toothwort",
Vascular Plant,Cardamine diphylla,"Toothwort, Two-Leaf Toothwort",
Vascular Plant,Cardamine dissecta,Dissected-Leaved Toothwort,
Vascular Plant,Cardamine flagellifera,"Bitter Cress, Bittercress",
Vascular Plant,Cardamine hirsuta,"Hairy Bittercress, Hairy Bitter-Cress",
Vascular Plant,Cardamine parviflora var. arenicola,Sand Bittercress,
Vascular Plant,Cardamine pensylvanica,"Pennsylvania Bittercress, Pennsylvania Bitter-Cress",
Vascular Plant,Cardamine rotundifolia,"Round Leaf Watercress, Round-Leaf Water Cress",
Vascular Plant,Conringia orientalis,"Hare's Ear Mustard, Hare's-Ear Mustard",
Vascular Plant,Draba brachycarpa,"Short-Fruited Whitlow Grass, Short-Fruited Whitlow-Grass",
Vascular Plant,Draba ramosissima,"Branched Whitlow Grass, Branching Whitlow Grass",
Vascular Plant,Draba verna,Whitlow Grass,
Vascular Plant,Erysimum cheiranthoides,"Worm-Seed Mustard, Worm-Seed Wallflower",
Vascular Plant,Hesperis matronalis,Dames Rocket,
Vascular Plant,Lepidium campestre,"Cow-Cress, Field Pepper-Grass",
Vascular Plant,Lepidium densiflorum,Common Pepperweed,
Vascular Plant,Lepidium virginicum,"Poor Man's Pepper, Poor-Man's Pepper-Grass",
Vascular Plant,Lunaria annua,"Annual Honesty, Moneyplant",
Vascular Plant,Microthlaspi perfoliatum,Claspleaf Pennycress,
Vascular Plant,Raphanus raphanistrum,Wild Radish,
Vascular Plant,Rorippa islandica,Northern Marsh Yellowcress,
Vascular Plant,Rorippa nasturtium-aquaticum,"True Watercress, Watercress",
Vascular Plant,Rorippa palustris,Yellowcress,
Vascular Plant,Rorippa palustris ssp. fernaldiana,Fernald's Yellowcress,
Vascular Plant,Rorippa palustris ssp. palustris,Bog Yellowcress,
Vascular Plant,Sibara virginica,"Sibara, Virginia Rockcress",
Vascular Plant,Sisymbrium officinale,"Hairy-Pod Hedgemustard, Hedge-Mustard",
Vascular Plant,Thlaspi arvense,Field Pennycress,
Vascular Plant,Thlaspi perfoliatum,"Pennycress, Perfoliate Penny-Cress",
Vascular Plant,Cleome hassleriana,Spider Flower,
Vascular Plant,Buxus sempervirens,"Boxwood, Common Boxwood",
Vascular Plant,Pachysandra procumbens,American Pachysandra,
Vascular Plant,Pachysandra terminalis,Pachysandra,
Vascular Plant,Amaranthus albus,"White Amaranthus, White Pigweed",
Vascular Plant,Amaranthus hybridus,"Amaranthus, Smooth Amaranth",
Vascular Plant,Amaranthus retroflexus,"Green Amaranthus, Red-Root Amaranth",
Vascular Plant,Amaranthus spinosus,"Spiny Amaranth, Spiny Amaranthus",
Vascular Plant,Chenopodium album var. missouriense,Missouri Lambsquarters,
Vascular Plant,Chenopodium ambrosioides,"Fragrant Goosefoot, Wormseed Goosefoot",
Vascular Plant,Chenopodium murale,"Nettle-Leaf Goosefoot, Pigweed",
Vascular Plant,Opuntia humifusa,Pricklypear,
Vascular Plant,Agrostemma githago,"Common Corncockle, Corncockle",
Vascular Plant,Arenaria serpyllifolia,"Thyme-Leaf Sandwort, Thyme-Leaved Sandwort",
Vascular Plant,Cerastium brachypetalum,"Short-Petal Chickweed, Short-Petalled Chickweed",
Vascular Plant,Cerastium fontanum ssp. vulgare,Common Mouse-Ear Chickweed,
Vascular Plant,Cerastium glomeratum,"Mouse-Ear Chickweed, Sticky Mouse-Ear Chickweed",
Vascular Plant,Cerastium nutans var. nutans,Nodding Chickweed,
Vascular Plant,Dianthus armeria,"Deptford Pink, Deptford-Pink",
Vascular Plant,Dianthus barbatus,"Sweet William, Sweet-William",
Vascular Plant,Holosteum umbellatum,Jagged Chickweed,
Vascular Plant,Lychnis coronaria,Rose Campion,
Vascular Plant,Paronychia argyrocoma,Silvery Nailwort,
Vascular Plant,Paronychia canadensis,"Forked Chickweed, Forked Nail-Wort",
Vascular Plant,Paronychia fastigiata,"Cluster-Stemmed Nail-Wort, Forked Chickweed",
Vascular Plant,Sagina decumbens,"Pearlwort, Small-Flowered Pearlwort",
Vascular Plant,Saponaria officinalis,"Bouncing-Bet, Soapwort, Bouncing-Bet",
Vascular Plant,Scleranthus annuus,German Knotgrass,
Vascular Plant,Silene antirrhina,Sleepy Catchfly,
Vascular Plant,Silene armeria,Sweet William Silene,
Vascular Plant,Silene dichotoma,Dichotoma Silene,
Vascular Plant,Silene latifolia ssp. alba,Bladder Campion,
Vascular Plant,Silene noctiflora,Nightflowering Silene,
Vascular Plant,Silene ovata,"Mountain Catchfly, Rough-Leaved Campion",Species of Concern
Vascular Plant,Silene rotundifolia,"Roundleaf Catchfly, Round-Leaved Campion",
Vascular Plant,Silene stellata,"Starry Campion, Starry Catchfly",
Vascular Plant,Silene virginica,Fire Pink,
Vascular Plant,Silene vulgaris,Bladder Campion,
Vascular Plant,Stellaria alsine,"Chickweed, Trailing Stitchwort",
Vascular Plant,Stellaria corei,"Core's Starwort, Tennessee Starwort",
Vascular Plant,Stellaria graminea,"Grasslike Starwort, Little Starwort",
Vascular Plant,Stellaria longifolia,"Longleaf Stitchwort, Long-Leaved Stitchwort",
Vascular Plant,Stellaria media,"Common Chickweed, Common Starwort",
Vascular Plant,Stellaria pubera,"Giant Chickweed, Star Chickweed",
Vascular Plant,Drosera rotundifolia,"Roundleaf Sundew, Sundew",
Vascular Plant,Mollugo verticillata,"Carpet-Weed, Green Carpet-Weed",
Vascular Plant,Claytonia caroliniana,"Carolina Spring-Beauty, Spring-Beauty",
Vascular Plant,Claytonia virginica,"Narrow-Leaved Spring Beauty, Narrow-Leaved Spring-Beauty",
Vascular Plant,Claytonia virginica var. acutiflora,Virginia Springbeauty,
Vascular Plant,Mirabilis jalapa,"Common Four-O'Clock, Four-O?Clock",
Vascular Plant,Phytolacca americana,"Common Pokeweed, Pokeweed",
Vascular Plant,Fagopyrum esculentum,"Buckwheat, Fagopyrum",
Vascular Plant,Fagopyrum vulgare,Buckwheat,
Vascular Plant,Polygonum amphibium var. emersum,Knotweed,
Vascular Plant,Polygonum aviculare,Bird Knotweed,
Vascular Plant,Polygonum caespitosum,"Bristled Knotweed, Bunchy Knotweed, Oriental Lady's Thumb, Oriental Ladysthumb",
Vascular Plant,Polygonum caespitosum var. longisetum,"Oriental Lady's Thumb, Oriental Ladysthumb",
Vascular Plant,Polygonum cespitosum,"Oriental Lady's Thumb, Oriental Ladysthumb",
Vascular Plant,Polygonum cilinode,"Fringed Black Bindweed, Fringed Climbing Buckwheat",
Vascular Plant,Polygonum coccineum,Longroot Smartweed,
Vascular Plant,Polygonum convolvulus,Black Bindweed,
Vascular Plant,Polygonum cuspidatum,Japanese Knotweed,
Vascular Plant,Polygonum erectum,"Erect Knotweed, Knotweed",
Vascular Plant,Polygonum hydropiper,"Annual Smartweed, Marshpepper Knotweed, Mild Water-Pepper",
Vascular Plant,Polygonum hydropiperoides,"A Smartweed, Swamp Smartweed",
Vascular Plant,Polygonum lapathifolium,"Dock-Leaf Smartweed, Smartweed",
Vascular Plant,Polygonum orientale,"Kiss-Me-Over-The-Garden-Gate, Prince's Feather",
Vascular Plant,Polygonum pensylvanicum,Pennsylvania Smartweed,
Vascular Plant,Polygonum persicaria,"Ladys Thumb, Lady's Thumb",
Vascular Plant,Polygonum punctatum,"Dotted Smartweed, Punctate Smartweed",
Vascular Plant,Polygonum sagittatum,"Arrow-Leaved Tearthumb, Tearthumb",
Vascular Plant,Polygonum scandens var. cristatum,Climbing False Buckwheat,
Vascular Plant,Polygonum setaceum,"Smartweed, Swamp Smartweed",
Vascular Plant,Polygonum virginianum,Virginia Knotweed,
Vascular Plant,Rumex acetosella,"Sheep Sorrel, Sheep Sorrell",
Vascular Plant,Rumex crispus,"Curled Dock, Curly Dock",
Vascular Plant,Rumex obtusifolius,Bitter Dock,
Vascular Plant,Rumex patientia,Patience Dock,
Vascular Plant,Portulaca oleracea,Common Purslane,
Vascular Plant,Celastrus orbiculatus,Oriental Bittersweet,
Vascular Plant,Celastrus scandens,Climbing Bittersweet,
Vascular Plant,Euonymus alatus,"Winged Euonymus, Winged Spindle-Tree",
Vascular Plant,Euonymus americana,"Strawberry Bush, Strawberrybush",
Vascular Plant,Euonymus atropurpurea,"Eastern Wahoo, Wahoo",
Vascular Plant,Euonymus atropurpureus,Wahoo,
Vascular Plant,Euonymus fortunei,"Climbing Euonymus, Winter-Creeper",
Vascular Plant,Euonymus obovata,Running Strawberry Bush,
Vascular Plant,Parnassia asarifolia,"Grass-Of-Parnassus, Kidneyleaf Grass-Of-Parnassus",
Vascular Plant,Parnassia glauca,"Fen Grass Of Parnassus, Fen Grass-Of-Parnassus",
Vascular Plant,Parnassia grandifolia,"Largeleaf Grass Of Parnassus, Large-Leaved Grass-Of-Parnassus",Species of Concern
Vascular Plant,Commelina communis,"Asiatic Dayflower, Common Dayflower",
Vascular Plant,Commelina diffusa,Dayflower,
Vascular Plant,Commelina erecta,"Erect Dayflower, Slender Dayflower",
Vascular Plant,Commelina virginica,"Virginia Dayflower, Virginia Day-Flower",
Vascular Plant,Murdannia keisak,Aneilema,
Vascular Plant,Tradescantia ohiensis,Ohio Spiderwort,
Vascular Plant,Tradescantia subaspera,Zigzag Spiderwort,
Vascular Plant,Tradescantia subaspera var. montana,Mountain Spiderwort,
Vascular Plant,Tradescantia subaspera var. subaspera,Spiderwort,
Vascular Plant,Tradescantia virginiana,Virginia Spiderwort,
Vascular Plant,Pontederia cordata,Pickerelweed,
Vascular Plant,Cornus alternifolia,"Alternate-Leaf Dogwood, Alternate-Leaved Dogwood",
Vascular Plant,Cornus amomum,Silky Dogwood,
Vascular Plant,Cornus florida,Flowering Dogwood,
Vascular Plant,Cornus foemina,"Stiff Dogwood, Swamp Dogwood",
Vascular Plant,Decumaria barbara,Climbing Hydrangea,
Vascular Plant,Hydrangea arborescens,Wild Hydrangea,
Vascular Plant,Hydrangea cinerea,Gray-Leaf Hydrangea,
Vascular Plant,Hydrangea paniculata,"Hydrangea, Panicle Hydrangea",
Vascular Plant,Hydrangea radiata,"Snowy Hydrangea, White-Leaf Hydrangea",
Vascular Plant,Philadelphus hirsutus,Small-Flowered Hairy Mock-Orange,
Vascular Plant,Philadelphus inodorus,Scentless Mockorange,
Vascular Plant,Philadelphus inodorus var. grandiflorus,Large-Flowered Hairy Mock-Orange,
Vascular Plant,Philadelphus inodorus var. strigosus,Mock-Orange,
Vascular Plant,Philadelphus pubescens var. pubescens,Hoary Mockorange,
Vascular Plant,Philadelphus sharpianus,Sharp's Mock-Orange,
Vascular Plant,Nyssa sylvatica,"Black Gum, Black Tupelo",
Vascular Plant,Staphylea trifolia,"American Bladdernut, Bladdernut",
Vascular Plant,Cucumis melo,Canteloupe,
Vascular Plant,Cucurbita pepo,Field Pumpkin,
Vascular Plant,Melothria pendula,"Creeping Cucumber, Melonette",
Vascular Plant,Sicyos angulatus,Bur Cucumber,
Vascular Plant,Dioscorea oppositifolia,Chinese Yam,
Vascular Plant,Dioscorea quaternata,Wild Yam,
Vascular Plant,Dioscorea villosa,Wild Yam,
Vascular Plant,Aletris farinosa,"Colic Root, White-Tubed Colicroot",
Vascular Plant,Sambucus canadensis,"American Elder, Common Elderberry",
Vascular Plant,Sambucus nigra ssp. canadensis,"American Black Elderberry, Blue Elder, Common Elderberry, Elder, Elderberry, Mexican Elderberry",
Vascular Plant,Sambucus racemosa,"European Red Elder, Red Elderberry, Scarlet Elderberry",
Vascular Plant,Sambucus racemosa var. pubens,Red-Berried Elder,
Vascular Plant,Sambucus racemosa var. racemosa,"Bunchberry Elder, Red Elderberry",
Vascular Plant,Viburnum acerifolium,"Maple-Leaf Viburnum, Maple-Leaved Viburnum",
Vascular Plant,Viburnum dentatum,"Arrow-Wood, Southern Arrow-Wood",
Vascular Plant,Viburnum lantana,"Way-Faring Tree, Wayfaring-Tree",
Vascular Plant,Viburnum lantanoides,"Hobblebush, Witchhobble",
Vascular Plant,Viburnum lentago,"Nannyberry, Nanny-Berry",
Vascular Plant,Viburnum nudum var. cassinoides,"Northern Wild-Raisin, Wild Raisin",
Vascular Plant,Viburnum opulus,"Guelder-Rose Viburnum, Highbush Cranberry",
Vascular Plant,Viburnum plicatum,Chinese Viburnum,
Vascular Plant,Viburnum prunifolium,"Smooth Blackhaw, Smooth Black-Haw",
Vascular Plant,Viburnum rafinesquianum,"Downy Arrowwood, Downy Arrow-Wood",
Vascular Plant,Viburnum recognitum,"Northern Arrow-Wood, Southern Arrowwood",
Vascular Plant,Viburnum rufidulum,Rusty Blackhaw,
Vascular Plant,Lonicera canadensis,"American Fly-Honeysuckle, Canadian Honeysuckle",
Vascular Plant,Lonicera flava,Yellow Honeysuckle,
Vascular Plant,Lonicera fragrantissima,Fragrant Honeysuckle,
Vascular Plant,Lonicera japonica,Japanese Honeysuckle,
Vascular Plant,Lonicera korolkowii,Small-Leaved Honeysuckle,
Vascular Plant,Lonicera maackii,Amur Honeysuckle,
Vascular Plant,Lonicera morrowii,"Morrow Honeysuckle, Morrow's Honeysuckle",
Vascular Plant,Lonicera sempervirens,Trumpet Honeysuckle,
Vascular Plant,Lonicera standishii,Standish's Honeysuckle,
Vascular Plant,Lonicera tatarica,"Bush Honeysuckle, Tatarian Honeysuckle",
Vascular Plant,Symphoricarpos orbiculatus,"Coralberry, Coral-Berry",
Vascular Plant,Triosteum angustifolium,Yellowfruit Horsegentian,
Vascular Plant,Triosteum aurantiacum,"Coffee Tinker's-Weed, Horse-Gentian",
Vascular Plant,Triosteum perfoliatum,Feverwort,
Vascular Plant,Diervilla lonicera,Northern Bush-Honey-Suckle,
Vascular Plant,Diervilla sessilifolia,"Sessile-Leaved Bush-Honey-Suckle, Southern Bush-Honeysuckle",
Vascular Plant,Weigela florida,Weigela,
Vascular Plant,Dipsacus fullonum,Teasel,
Vascular Plant,Linnaea borealis,Twinflower,
Vascular Plant,Valerianella locusta,Lewiston Cornsalad,
Vascular Plant,Valerianella radiata,"Beaked Corn-Salad, Corn Salad",
Vascular Plant,Valerianella umbilicata,"Corn Salad, Navel-Shape Corn-Salad",
Vascular Plant,Equisetum arvense,Field Horsetail,
Vascular Plant,Equisetum hyemale var. affine,Scouringrush Horsetail,
Vascular Plant,Impatiens capensis,"Orange Jewelweed, Touch-Me-Not, Spotted Jewel-Weed",
Vascular Plant,Impatiens pallida,"Pale Jewel-Weed, Pale Jewelweed, Touch Me-Not",
Vascular Plant,Clethra acuminata,Mountain Pepper-Bush,
Vascular Plant,Galax urceolata,Galax,
Vascular Plant,Shortia galacifolia,Oconee Bells,Species of Concern
Vascular Plant,Diospyros virginiana,Persimmon,
Vascular Plant,Chimaphila maculata,"Spotted Wintergreen, Striped Pipsissewa",
Vascular Plant,Epigaea repens,Trailing Arbutus,
Vascular Plant,Gaultheria procumbens,"Teaberry, Wintergreen",
Vascular Plant,Gaylussacia baccata,Black Huckleberry,
Vascular Plant,Gaylussacia ursina,Bear Huckleberry,
Vascular Plant,Kalmia latifolia,Mountain Laurel,
Vascular Plant,Leiophyllum buxifolium,Sand Myrtle,
Vascular Plant,Leucothoe fontanesiana,"Dog-Hobble, Highland Dog-Hobble",
Vascular Plant,Leucothoe recurva,"Deciduous Leucothoe, Recurved Dog-Hobble",
Vascular Plant,Lyonia ligustrina,Maleberry,
Vascular Plant,Menziesia pilosa,Minniebush,
Vascular Plant,Monotropa hypopithys,"American Pinesap, Pine-Sap",
Vascular Plant,Monotropa uniflora,"Indian Pipe, Indian-Pipe",Species of Concern
Vascular Plant,Monotropsis odorata,"Sweet Pinesap, Sweet Pine-Sap",Species of Concern
Vascular Plant,Oxydendrum arboreum,Sourwood,
Vascular Plant,Pieris floribunda,"Mountain Fetter-Bush, Mountain Pieris",
Vascular Plant,Rhododendron,"Azaleas, Rhododendron",
Vascular Plant,Rhododendron arborescens,"Smooth Azalea, Sweet Azalea",
Vascular Plant,Rhododendron calendulaceum,Flame Azalea,
Vascular Plant,Rhododendron canescens,Mountain Azalea,
Vascular Plant,Rhododendron carolinianum,Carolina Azalea,
Vascular Plant,Rhododendron catawbiense,Catawba Rhododendron,
Vascular Plant,Rhododendron cumberlandense,Cumberland Rhododendron,
Vascular Plant,Rhododendron maximum,"Great Laurel, Rosebay Rhododendron",
Vascular Plant,Rhododendron minus,"Carolina Rhododendron, Small-Leaved Rhododendron",
Vascular Plant,Rhododendron periclymenoides,"Pink Azalea, Pinxter-Bush",
Vascular Plant,Rhododendron prinophyllum,Pink Azalea,
Vascular Plant,Rhododendron vaseyi,Pink-Shell Azalea,
Vascular Plant,Rhododendron viscosum,"Clammy Azalea, Swamp Azalea",
Vascular Plant,Rhododendron X bakeri,Cumberland Azalea,
Vascular Plant,Vaccinium angustifolium,"Late Lowbush Blueberry, Lowbush Blueberry",
Vascular Plant,Vaccinium arboreum,"Farkleberry, Sparkleberry",
Vascular Plant,Vaccinium corymbosum,Tall Woodland Blueberry,
Vascular Plant,Vaccinium erythrocarpum,"Mountain Cranberry-Bush, Southern Mountain Cranberry",
Vascular Plant,Vaccinium fuscatum,Black Highbush Blueberry,
Vascular Plant,Vaccinium hirsutum,Hairy Blueberry,Species of Concern
Vascular Plant,Vaccinium macrocarpon,Cranberry,
Vascular Plant,Vaccinium myrtilloides,"Sour-Top Blueberry, Velvetleaf Blueberry, Velvetleaf Huckleberry",
Vascular Plant,Vaccinium pallidum,"Early Lowbush Blueberry, Pale Lowbush Blueberry",
Vascular Plant,Vaccinium stamineum,Deerberry,
Vascular Plant,Phlox amoena,"Hairy Phlox, Narrow-Leaved Phlox",
Vascular Plant,Phlox amplifolia,"Broad-Leaved Phlox, Large-Leaved Phlox",
Vascular Plant,Phlox carolina ssp. alta,Thickleaf Phlox,
Vascular Plant,Phlox divaricata,"Blue Phlox, Wild Blue Phlox",
Vascular Plant,Phlox drummondii,Drummond Phlox,
Vascular Plant,Phlox glaberrima ssp. triflora,Smooth Phlox,
Vascular Plant,Phlox latifolia,"Mountain Phlox, Wideflower Phlox",
Vascular Plant,Phlox maculata ssp. pyramidalis,Wild Sweetwilliam,
Vascular Plant,Phlox ovata,Mountain Phlox,
Vascular Plant,Phlox paniculata,Summer Phlox,
Vascular Plant,Phlox stolonifera,Creeping Phlox,
Vascular Plant,Phlox subulata,Moss Phlox,
Vascular Plant,Polemonium reptans,"Greek Valerian, Greek Valerian, Jacob's Ladder",
Vascular Plant,Anagallis arvensis,Scarlet Pimpernel,
Vascular Plant,Anagallis minima,Chaffweed,
Vascular Plant,Dodecatheon meadia,"Blazing Star, Shootingstar",
Vascular Plant,Lysimachia ciliata,"Ciliate Loosestrife, Fringed Loosestrife",
Vascular Plant,Lysimachia fraseri,Fraser's Loosestrife,Species of Concern
Vascular Plant,Lysimachia hybrida,"Intermediate Loosestrife, Lance-Leaf Loosestrife",
Vascular Plant,Lysimachia lanceolata,"Lance-Leaf Loosestrife, Narrow-Leaved Loosestrife",
Vascular Plant,Lysimachia nummularia,"Creeping Jennie, Moneywort",
Vascular Plant,Lysimachia quadrifolia,Whorled Loosestrife,
Vascular Plant,Lysimachia terrestris,Earth Loosestrife,
Vascular Plant,Lysimachia tonsa,"Smooth Loosestrife, Southern Loosestrife",
Vascular Plant,Samolus valerandi ssp. parviflorus,Samolus,
Vascular Plant,Trientalis borealis,Star-Flower,
Vascular Plant,Sarracenia purpurea,Purple Pitcherplant,
Vascular Plant,Halesia tetraptera var. monticola,Silverbell,
Vascular Plant,Styrax grandifolius,Bigleaf Snowbell,
Vascular Plant,Symplocos tinctoria,"Horse-Sugar, Sweetleaf",
Vascular Plant,Stewartia ovata,"Mountain Camellia, Mountain Stewartia",
Vascular Plant,Albizia julibrissin,"Mimosa, Silk Tree",
Vascular Plant,Amorpha fruticosa,"False Indigo, False Indigo-Bush",
Vascular Plant,Amorpha georgiana,Georgia Leadplant,
Vascular Plant,Amorpha glabra,"Smooth False Indigo, Smooth Indigobush",
Vascular Plant,Amphicarpaea bracteata,"American Hog-Peanut, Hog-Peanut",
Vascular Plant,Apios americana,"American Groundnut, Ground-Nut",
Vascular Plant,Astragalus canadensis,Milk Vetch,
Vascular Plant,Baptisia tinctoria,"Wild Indigo, Yellow Wild-Indigo",
Vascular Plant,Centrosema virginianum,"Butterfly-Pea, Coastal Butterfly-Pea",
Vascular Plant,Cercis canadensis,"Eastern Redbud, Redbud",
Vascular Plant,Chamaecrista fasciculata,"Partridge-Pea, Prairie Senna",
Vascular Plant,Chamaecrista fasciculata var. fasciculata,"Partridge Pea, Sleepingplant",
Vascular Plant,Chamaecrista nictitans ssp. nictitans var. nictitans,Partridge Pea,
Vascular Plant,Cladrastis kentukea,Yellowwood,
Vascular Plant,Clitoria mariana,"Butterfly-Pea, Maryland Butterfly-Pea",
Vascular Plant,Coronilla varia,"Common Crown-Vetch, Crown-Vetch",
Vascular Plant,Crotalaria purshii,"Pursh's Rattlebox, Rattlebox",
Vascular Plant,Crotalaria sagittalis,Arrowhead Rattlebox,
Vascular Plant,Cytisus scoparius,"Scotch Broom, Scotch-Broom",
Vascular Plant,Desmanthus illinoensis,Prairie Bundleflower,
Vascular Plant,Desmodium canescens,"Hoary Tick-Treefoil, Tick-Trefoil",
Vascular Plant,Desmodium ciliare,"Hairy Small-Leaved Tick-Treefoil, Small-Leaved Tick-Trefoil",
Vascular Plant,Desmodium cuspidatum,"Tick-Trefoil, Toothed Tick-Treefoil",
Vascular Plant,Desmodium glabellum,"Dillen Tick-Trefoil, Tick-Trefoil",
Vascular Plant,Desmodium glutinosum,"Large Tick-Trefoil, Whorled Tick-Trefoil",
Vascular Plant,Desmodium laevigatum,"Smooth Tick-Treefoil, Smooth Tick-Trefoil",
Vascular Plant,Desmodium marilandicum,"Maryland Tick-Treefoil, Narrow Tick-Trefoil",
Vascular Plant,Desmodium nudiflorum,"Bare-Stemmed Tick-Treefoil, Naked-Flowered Tick-Trefoil",
Vascular Plant,Desmodium nuttallii,"Nuttall Tick-Trefoil, Nuttall's Tick-Trefoil",
Vascular Plant,Desmodium ochroleucum,Cream Ticktrefoil,
Vascular Plant,Desmodium paniculatum var. paniculatum,Panicledleaf Ticktrefoil,
Vascular Plant,Desmodium pauciflorum,"Fewflower Tick-Trefoil, Leafy Tick-Trefoil",
Vascular Plant,Desmodium perplexum,"Perplexed Tick-Trefoil, Tick-Trefoil",
Vascular Plant,Desmodium rotundifolium,"Prostrate Tick-Treefoil, Prostrate Tick-Trefoil",
Vascular Plant,Desmodium viridiflorum,"Tick-Trefoil, Velvety Tick-Treefoil",
Vascular Plant,Galactia regularis,"Eastern Milk-Pea, Milk Pea",
Vascular Plant,Galactia volubilis,Downy Milkpea,
Vascular Plant,Gleditsia triacanthos,"Honeylocust, Honey-Locust",
Vascular Plant,Gymnocladus dioicus,Kentucky Coffee-Tree,
Vascular Plant,Kummerowia stipulacea,Korean Bush-Clover,
Vascular Plant,Kummerowia striata,Japanese Bush-Clover,
Vascular Plant,Laburnum anagyroides,Laburnum,
Vascular Plant,Lathyrus latifolius,"Broad-Leaf Peavine, Everlasting Pea",
Vascular Plant,Lathyrus venosus var. intonsus,Veiny Pea,
Vascular Plant,Lespedeza bicolor,"Japanese Lespedeza, Shrubby Bushclover",
Vascular Plant,Lespedeza capitata,"Round-Head Bush-Clover, Round-Headed Bush Clover",
Vascular Plant,Lespedeza cuneata,"Chinese Bushclover, Cuneate Bush-Clover",
Vascular Plant,Lespedeza frutescens,Shrubby Lespedeza,
Vascular Plant,Lespedeza hirta,Hairy Bush-Clover,
Vascular Plant,Lespedeza intermedia,"Wand Bush-Clover, Wandlike Bush-Clover",
Vascular Plant,Lespedeza procumbens,"Low Bush-Clover, Trailing Bush-Clover",
Vascular Plant,Lespedeza repens,"Creeping Bush-Clover, Trailing Bush-Clover",
Vascular Plant,Lespedeza stuevei,Tall Lespedeza,
Vascular Plant,Lespedeza violacea,Violet Bush-Clover,
Vascular Plant,Lespedeza virginica,Slender Bush-Clover,
Vascular Plant,Lespedeza X nuttallii,Hybrid Bush-Clover,
Vascular Plant,Lotus corniculatus,"Birdsfoot Trefoil, Lotus",
Vascular Plant,Medicago lupulina,"Black Medic, Black Medick",
Vascular Plant,Medicago sativa,Alfalfa,
Vascular Plant,Melilotus albus,White Sweet-Clover,
Vascular Plant,Melilotus officinalis,Yellow Sweet-Clover,
Vascular Plant,Mimosa microphylla,"Littleleaf Sensitive-Briar, Sensitive Brier",
Vascular Plant,Mimosa quadrivalvis var. angustata,"Little-Leaf Sensitive-Briars, Sesitive-Brier, Catclaw",
Vascular Plant,Orbexilum onobrychis,Tall Psoralea,
Vascular Plant,Orbexilum pedunculatum,Sampson's Snakeroot,
Vascular Plant,Orbexilum pedunculatum var. pedunculatum,Sampson's Snakeroot,
Vascular Plant,Orbexilum pedunculatum var. psoralioides,Sampson's Snakeroot,
Vascular Plant,Phaseolus polystachios,Wild Bean,
Vascular Plant,Pueraria montana var. lobata,Kudzu,
Vascular Plant,Rhynchosia tomentosa,"Hairy Rhynchosia, Hairy Snoutbean",
Vascular Plant,Robinia hispida var. hispida,Bristly Locust,
Vascular Plant,Robinia hispida var. kelseyi,Kelsey's Locust,
Vascular Plant,Robinia hispida var. rosea,Boynton's Locust,
Vascular Plant,Robinia pseudoacacia,Black Locust,
Vascular Plant,Robinia viscosa,Clammy Locust,
Vascular Plant,Robinia viscosa var. hartwegii,Hartweg's Locust,
Vascular Plant,Senna hebecarpa,"Tall Partridge-Pea, Wild Senna",
Vascular Plant,Senna marilandica,"Maryland Senna, Wild Senna",
Vascular Plant,Senna obtusifolia,"Java-Bean, Sicklepod",
Vascular Plant,Strophostyles helvula,Trailing Fuzzybean,
Vascular Plant,Strophostyles umbellata,"Pink Wild-Bean, Wild-Bean",
Vascular Plant,Stylosanthes biflora,"Pencil Flower, Pencilflower",
Vascular Plant,Tephrosia spicata,"Spike Goat's Rue, Spiked Hoary-Pea",
Vascular Plant,Tephrosia virginiana,"Goat's Rue, Goat's-Rue",
Vascular Plant,Thermopsis fraxinifolia,Bush-Pea,
Vascular Plant,Thermopsis mollis var. mollis,Softbush-Pea,
Vascular Plant,Thermopsis villosa,"Hairy Bush-Pea, Hairy False-Lupine",
Vascular Plant,Trifolium arvense,Rabbitfoot Clover,
Vascular Plant,Trifolium aureum,Yellow Or Hop-Clover,
Vascular Plant,Trifolium campestre,"Low Hop Clover, Low Hop-Clover",
Vascular Plant,Trifolium dubium,"Smaller Hop-Clover, Suckling Clover",
Vascular Plant,Trifolium hybridum,Alsike Clover,
Vascular Plant,Trifolium incarnatum,Crimson Clover,
Vascular Plant,Trifolium pratense,Red Clover,
Vascular Plant,Trifolium repens,White Clover,
Vascular Plant,Vicia caroliniana,"Carolina Vetch, Carolina Wood Vetch",
Vascular Plant,Vicia cracca ssp. cracca,Bird Vetch,
Vascular Plant,Vicia sativa ssp. nigra,Common Vetch,
Vascular Plant,Vicia villosa ssp. varia,Winter Vetch,
Vascular Plant,Vicia villosa ssp. villosa,Hairy Vetch,
Vascular Plant,Wisteria floribunda,Japanese Wisteria,
Vascular Plant,Wisteria frutescens,"American Wisteria, Wisteria",
Vascular Plant,Polygala ambigua,Whorled Milkwort,
Vascular Plant,Polygala cruciata,"Crossleaf Milkwort, Cross-Leaved Milkwort",
Vascular Plant,Polygala curtissii,"Curtiss Milkwort, Curtiss? Milkwort",
